answer_llm,answer_orig,document,question,course
"You can find the materials related to your cohort by going to the course page at [http://mlzoomcamp.com/](http://mlzoomcamp.com/), scrolling down, and then accessing everything in the cohort folder for your cohort’s year. Additionally, you can watch the videos linked there and check out the office hours from previous cohorts on the DTC YouTube channel by searching for {course yyyy} in the Playlists.","Welcome to the course! Go to the course page (http://mlzoomcamp.com/), scroll down and start going through the course materials. Then read everything in the cohort folder for your cohort’s year.
Click on the links and start watching the videos. Also watch office hours from previous cohorts. Go to DTC youtube channel and click on Playlists and search for {course yyyy}. ML Zoomcamp was first launched in 2021.
Or you can just use this link: http://mlzoomcamp.com/#syllabus",0a278fb2,Where can I find the materials related to my cohort?,machine-learning-zoomcamp
"To access the videos from previous office hours, go to the DTC YouTube channel and click on Playlists. Then, search for the specific course from previous cohorts. Alternatively, you can visit the course page at http://mlzoomcamp.com/#syllabus to find the links to the videos.","Welcome to the course! Go to the course page (http://mlzoomcamp.com/), scroll down and start going through the course materials. Then read everything in the cohort folder for your cohort’s year.
Click on the links and start watching the videos. Also watch office hours from previous cohorts. Go to DTC youtube channel and click on Playlists and search for {course yyyy}. ML Zoomcamp was first launched in 2021.
Or you can just use this link: http://mlzoomcamp.com/#syllabus",0a278fb2,How do I access the videos from previous office hours?,machine-learning-zoomcamp
ML Zoomcamp was first launched in 2021.,"Welcome to the course! Go to the course page (http://mlzoomcamp.com/), scroll down and start going through the course materials. Then read everything in the cohort folder for your cohort’s year.
Click on the links and start watching the videos. Also watch office hours from previous cohorts. Go to DTC youtube channel and click on Playlists and search for {course yyyy}. ML Zoomcamp was first launched in 2021.
Or you can just use this link: http://mlzoomcamp.com/#syllabus",0a278fb2,When was ML Zoomcamp first introduced?,machine-learning-zoomcamp
You can find the deadlines for the 2023 cohort by visiting the designated 2023 cohort page.,"For the 2023 cohort, you can see the deadlines here (it’s taken from the 2023 cohort page)",8de4fefd,Where can I find the deadlines for the 2023 cohort?,machine-learning-zoomcamp
The deadline information for the 2023 cohort is available here (it’s taken from the 2023 cohort page).,"For the 2023 cohort, you can see the deadlines here (it’s taken from the 2023 cohort page)",8de4fefd,Where is the deadline information available for the 2023 cohort?,machine-learning-zoomcamp
"To check the deadlines for the 2023 course, you can see them on the 2023 cohort page.","For the 2023 cohort, you can see the deadlines here (it’s taken from the 2023 cohort page)",8de4fefd,How do I check the deadlines for the 2023 course?,machine-learning-zoomcamp
You can see the 2023 cohort deadlines on the 2023 cohort page.,"For the 2023 cohort, you can see the deadlines here (it’s taken from the 2023 cohort page)",8de4fefd,Can you show me where to see the 2023 cohort deadlines?,machine-learning-zoomcamp
The deadlines for the 2023 cohort are listed on the 2023 cohort page.,"For the 2023 cohort, you can see the deadlines here (it’s taken from the 2023 cohort page)",8de4fefd,Where are the 2023 cohort deadlines listed?,machine-learning-zoomcamp
"The main change between the 2022 and 2023 versions of the course is that the 2023 iteration does not include the special module (BentoML) that was present in the previous version. Other than that, the rest of the modules remain the same as in 2022. Additionally, the homework assignments for the 2023 course are different.","There’s not much difference. There was one special module (BentoML) in the previous iteration of the course, but the rest of the modules are the same as in 2022. The homework this year is different.",94e86808,What has changed between the 2022 and 2023 versions of the course?,machine-learning-zoomcamp
"Yes, there is one module missing in the 2023 course compared to 2022. The special module titled ""BentoML"" was included in the previous iteration (2022) but is not part of the current course (2023). The rest of the modules remain the same.","There’s not much difference. There was one special module (BentoML) in the previous iteration of the course, but the rest of the modules are the same as in 2022. The homework this year is different.",94e86808,Is there any module missing in the 2023 course compared to 2022?,machine-learning-zoomcamp
"No, the homework assignments in the 2023 course are different from those in 2022.","There’s not much difference. There was one special module (BentoML) in the previous iteration of the course, but the rest of the modules are the same as in 2022. The homework this year is different.",94e86808,Are the homework assignments in the 2023 course the same as in 2022?,machine-learning-zoomcamp
"Yes, BentoML was included in the 2022 course but not in the 2023 course, as there was a special module on BentoML in the previous iteration.","There’s not much difference. There was one special module (BentoML) in the previous iteration of the course, but the rest of the modules are the same as in 2022. The homework this year is different.",94e86808,Was BentoML included in the 2022 course but not in the 2023 course?,machine-learning-zoomcamp
"Yes, the majority of modules are unchanged from the 2022 course. There was only one special module (BentoML) that was different in the previous iteration.","There’s not much difference. There was one special module (BentoML) in the previous iteration of the course, but the rest of the modules are the same as in 2022. The homework this year is different.",94e86808,Are the majority of modules unchanged from the 2022 course?,machine-learning-zoomcamp
"We won't be releasing new course videos; we will be using the videos from 2021. The focus of the course and the skills taught remain the same, and the videos are still up-to-date.","We won’t re-record the course videos. The focus of the course and the skills we want to teach remained the same, and the videos are still up-to-date.
If you haven’t taken part in the previous iteration, you can start watching the videos. It’ll be useful for you and you will learn new things. However, we recommend using Python 3.10 now instead of Python 3.8.",e7ba6b8a,Will you be releasing new course videos or using the ones from 2021?,machine-learning-zoomcamp
"No, the course videos are not being re-recorded for this iteration. They are from the previous iteration, and the videos are still considered up-to-date.","We won’t re-record the course videos. The focus of the course and the skills we want to teach remained the same, and the videos are still up-to-date.
If you haven’t taken part in the previous iteration, you can start watching the videos. It’ll be useful for you and you will learn new things. However, we recommend using Python 3.10 now instead of Python 3.8.",e7ba6b8a,Are the course videos being re-recorded for this iteration?,machine-learning-zoomcamp
"Yes, there is a difference in the skills taught compared to 2021. While the focus of the course and the skills aimed to be taught remain the same, the videos from the previous iterations will not be re-recorded, and it is recommended to use Python 3.10 instead of Python 3.8 for the current course. However, the specific content and skills have not significantly changed from the previous iteration in 2022.","We won’t re-record the course videos. The focus of the course and the skills we want to teach remained the same, and the videos are still up-to-date.
If you haven’t taken part in the previous iteration, you can start watching the videos. It’ll be useful for you and you will learn new things. However, we recommend using Python 3.10 now instead of Python 3.8.",e7ba6b8a,Is there any difference in the skills taught in this iteration compared to 2021?,machine-learning-zoomcamp
"Yes, you should watch the videos even if you didn't take the course in 2021. The course videos are still up-to-date, and they will be useful for you as you will learn new things. Just keep in mind to use Python 3.10 instead of Python 3.8.","We won’t re-record the course videos. The focus of the course and the skills we want to teach remained the same, and the videos are still up-to-date.
If you haven’t taken part in the previous iteration, you can start watching the videos. It’ll be useful for you and you will learn new things. However, we recommend using Python 3.10 now instead of Python 3.8.",e7ba6b8a,Should I watch the videos if I didn't take the course in 2021?,machine-learning-zoomcamp
The recommended Python version for this course iteration is Python 3.10.,"We won’t re-record the course videos. The focus of the course and the skills we want to teach remained the same, and the videos are still up-to-date.
If you haven’t taken part in the previous iteration, you can start watching the videos. It’ll be useful for you and you will learn new things. However, we recommend using Python 3.10 now instead of Python 3.8.",e7ba6b8a,Which Python version is recommended for this course iteration?,machine-learning-zoomcamp
You should use the tag #mlzoomcamp when posting about what you learned from the course on your social media pages.,"When you post about what you learned from the course on your social media pages, use the tag #mlzoomcamp. When you submit your homework, there’s a section in the form for putting the links there. Separate multiple links by any whitespace character (linebreak, space, tab, etc).
For posting the learning in public links, you get extra scores. But the number of scores is limited to 7 points: if you put more than 7 links in your homework form, you’ll get only 7 points.
The same content can be posted to 7 different social sites and still earn you 7 points if you add 7 URLs per week, see Alexey’s reply. (~ ellacharmed)
For midterms/capstones, the awarded points are doubled as the duration is longer. So for projects the points are capped at 14 for 14 URLs.",f7bc2f65,What tag should I use when posting about my course learning on social media?,machine-learning-zoomcamp
"To submit your learning in public links when turning in homework, you should post about what you learned from the course on your social media pages using the tag #mlzoomcamp. In the homework submission form, there's a section specifically for putting your links. Make sure to separate multiple links using any whitespace character (like a linebreak, space, or tab). Remember that you can earn extra scores for these links, up to a maximum of 7 points, regardless of how many links you submit. If you are submitting links for midterms or capstones, the points awarded are doubled, allowing for a maximum of 14 points for 14 URLs.","When you post about what you learned from the course on your social media pages, use the tag #mlzoomcamp. When you submit your homework, there’s a section in the form for putting the links there. Separate multiple links by any whitespace character (linebreak, space, tab, etc).
For posting the learning in public links, you get extra scores. But the number of scores is limited to 7 points: if you put more than 7 links in your homework form, you’ll get only 7 points.
The same content can be posted to 7 different social sites and still earn you 7 points if you add 7 URLs per week, see Alexey’s reply. (~ ellacharmed)
For midterms/capstones, the awarded points are doubled as the duration is longer. So for projects the points are capped at 14 for 14 URLs.",f7bc2f65,How should I submit my learning in public links when turning in homework?,machine-learning-zoomcamp
"No, it is not possible to earn more than 7 points for posting learning links in weekly homework. Even if you submit more than 7 links, you will still only receive a maximum of 7 points.","When you post about what you learned from the course on your social media pages, use the tag #mlzoomcamp. When you submit your homework, there’s a section in the form for putting the links there. Separate multiple links by any whitespace character (linebreak, space, tab, etc).
For posting the learning in public links, you get extra scores. But the number of scores is limited to 7 points: if you put more than 7 links in your homework form, you’ll get only 7 points.
The same content can be posted to 7 different social sites and still earn you 7 points if you add 7 URLs per week, see Alexey’s reply. (~ ellacharmed)
For midterms/capstones, the awarded points are doubled as the duration is longer. So for projects the points are capped at 14 for 14 URLs.",f7bc2f65,Is it possible to earn more than 7 points for posting learning links in weekly homework?,machine-learning-zoomcamp
"Yes, you can post the same content on multiple social sites to earn points for your homework. You can earn up to 7 points if you add up to 7 URLs per week, even if the content is the same across different sites.","When you post about what you learned from the course on your social media pages, use the tag #mlzoomcamp. When you submit your homework, there’s a section in the form for putting the links there. Separate multiple links by any whitespace character (linebreak, space, tab, etc).
For posting the learning in public links, you get extra scores. But the number of scores is limited to 7 points: if you put more than 7 links in your homework form, you’ll get only 7 points.
The same content can be posted to 7 different social sites and still earn you 7 points if you add 7 URLs per week, see Alexey’s reply. (~ ellacharmed)
For midterms/capstones, the awarded points are doubled as the duration is longer. So for projects the points are capped at 14 for 14 URLs.",f7bc2f65,Can I post the same content on multiple social sites to earn points for my homework?,machine-learning-zoomcamp
"For posting public learning links during midterms and capstones, you can earn up to 14 points by submitting 14 URLs. Each URL will earn you a value of 2 points due to the longer duration of the projects.","When you post about what you learned from the course on your social media pages, use the tag #mlzoomcamp. When you submit your homework, there’s a section in the form for putting the links there. Separate multiple links by any whitespace character (linebreak, space, tab, etc).
For posting the learning in public links, you get extra scores. But the number of scores is limited to 7 points: if you put more than 7 links in your homework form, you’ll get only 7 points.
The same content can be posted to 7 different social sites and still earn you 7 points if you add 7 URLs per week, see Alexey’s reply. (~ ellacharmed)
For midterms/capstones, the awarded points are doubled as the duration is longer. So for projects the points are capped at 14 for 14 URLs.",f7bc2f65,How many points can I earn for posting public learning links during midterms and capstones?,machine-learning-zoomcamp
"Based on the provided context, there is no explicit information regarding the sharing of course projects on public platforms. However, it mentions that you can create your own GitHub repository for the course where you can include your notes, homework, and projects. This suggests that sharing your work in a separate repository is allowed, but it doesn't specify whether you can share the course projects themselves on a public platform. Therefore, it would be best to check with your course instructor for clarification on this matter.","You can create your own github repository for the course with your notes, homework, projects, etc.
Then fork the original course repo and add a link under the 'Community Notes' section to the notes that are in your own repo.
After that's done, create a pull request to sync your fork with the original course repo.
(By Wesley Barreto)",ae52a907,Can I share my course projects on a public platform?,machine-learning-zoomcamp
"To add your notes to the Community Notes section, you can create your own GitHub repository for the course that includes your notes, homework, projects, etc. Then, fork the original course repository and add a link to your notes in your own repository under the 'Community Notes' section. After completing this, create a pull request to sync your fork with the original course repository.","You can create your own github repository for the course with your notes, homework, projects, etc.
Then fork the original course repo and add a link under the 'Community Notes' section to the notes that are in your own repo.
After that's done, create a pull request to sync your fork with the original course repo.
(By Wesley Barreto)",ae52a907,How do I add my notes to the Community Notes section?,machine-learning-zoomcamp
"To sync your changes with the original course repo, you should first fork the original course repo. After making your changes in your fork, create a pull request to sync your fork with the original course repo.","You can create your own github repository for the course with your notes, homework, projects, etc.
Then fork the original course repo and add a link under the 'Community Notes' section to the notes that are in your own repo.
After that's done, create a pull request to sync your fork with the original course repo.
(By Wesley Barreto)",ae52a907,What is the process to sync my changes with the original course repo?,machine-learning-zoomcamp
"You should host your course-related notes and projects in a GitHub repository that you create for the course. After creating your own repo, you can fork the original course repository and add a link to your notes under the 'Community Notes' section. Then, you will need to create a pull request to sync your fork with the original course repo.","You can create your own github repository for the course with your notes, homework, projects, etc.
Then fork the original course repo and add a link under the 'Community Notes' section to the notes that are in your own repo.
After that's done, create a pull request to sync your fork with the original course repo.
(By Wesley Barreto)",ae52a907,Where should I host my course-related notes and projects?,machine-learning-zoomcamp
"You can add a link to your own repository in the course repository by forking the original course repo and then adding the link under the 'Community Notes' section to the notes that are in your own repo. After adding the link, you'll need to create a pull request to sync your fork with the original course repo.","You can create your own github repository for the course with your notes, homework, projects, etc.
Then fork the original course repo and add a link under the 'Community Notes' section to the notes that are in your own repo.
After that's done, create a pull request to sync your fork with the original course repo.
(By Wesley Barreto)",ae52a907,Is there a specific location to add a link to my own repo in the course repository?,machine-learning-zoomcamp
"You can find the leaderboard links for 2023 and 2022 at the following URLs:

- 2023: [Leaderboard 2023](https://docs.google.com/spreadsheets/d/e/2PACX-1vSNK_yGtELX1RJK1SSRl4xiUbD0XZMYS6uwHnybc7Mql-WMnMgO7hHSu59w-1cE7FeFZjkopbh684UE/pubhtml)
- 2022: [Leaderboard 2022](https://docs.google.com/spreadsheets/d/e/2PACX-1vQzLGpva63gb2rIilFnpZMRSb-buyr5oGh8jmDtIb8DANo4n6hDalra_WRCl4EZwO1JvaC4UIS62n5h/pubhtml)","Leaderboard Links:
2023 - https://docs.google.com/spreadsheets/d/e/2PACX-1vSNK_yGtELX1RJK1SSRl4xiUbD0XZMYS6uwHnybc7Mql-WMnMgO7hHSu59w-1cE7FeFZjkopbh684UE/pubhtml
2022 - https://docs.google.com/spreadsheets/d/e/2PACX-1vQzLGpva63gb2rIilFnpZMRSb-buyr5oGh8jmDtIb8DANo4n6hDalra_WRCl4EZwO1JvaC4UIS62n5h/pubhtml
Python Code:
from hashlib import sha1
def compute_hash(email):
return sha1(email.lower().encode('utf-8')).hexdigest()
You need to call the function as follows:
print(compute_hash('YOUR_EMAIL_HERE'))
The quotes are required to denote that your email is a string.
(By Wesley Barreto)
You can also use this website directly by entering your email: http://www.sha1-online.com. Then, you just have to copy and paste your hashed email in the “research” bar of the leaderboard to get your scores.
(Mélanie Fouesnard)",dab5a24a,Where can I find the leaderboard links for 2023 and 2022?,machine-learning-zoomcamp
"To compute the hash for your email using Python, you can use the following code:

```python
from hashlib import sha1

def compute_hash(email):
    return sha1(email.lower().encode('utf-8')).hexdigest()

# Example usage
print(compute_hash('YOUR_EMAIL_HERE'))
```

Replace `'YOUR_EMAIL_HERE'` with your actual email address. Make sure the quotes are included to denote that your email is a string.","Leaderboard Links:
2023 - https://docs.google.com/spreadsheets/d/e/2PACX-1vSNK_yGtELX1RJK1SSRl4xiUbD0XZMYS6uwHnybc7Mql-WMnMgO7hHSu59w-1cE7FeFZjkopbh684UE/pubhtml
2022 - https://docs.google.com/spreadsheets/d/e/2PACX-1vQzLGpva63gb2rIilFnpZMRSb-buyr5oGh8jmDtIb8DANo4n6hDalra_WRCl4EZwO1JvaC4UIS62n5h/pubhtml
Python Code:
from hashlib import sha1
def compute_hash(email):
return sha1(email.lower().encode('utf-8')).hexdigest()
You need to call the function as follows:
print(compute_hash('YOUR_EMAIL_HERE'))
The quotes are required to denote that your email is a string.
(By Wesley Barreto)
You can also use this website directly by entering your email: http://www.sha1-online.com. Then, you just have to copy and paste your hashed email in the “research” bar of the leaderboard to get your scores.
(Mélanie Fouesnard)",dab5a24a,How do I compute the hash for my email using Python?,machine-learning-zoomcamp
"No, you do not need to format your email in any special way before computing the hash, other than ensuring it is in lowercase. The Python code provided already handles the conversion to lowercase when computing the hash.","Leaderboard Links:
2023 - https://docs.google.com/spreadsheets/d/e/2PACX-1vSNK_yGtELX1RJK1SSRl4xiUbD0XZMYS6uwHnybc7Mql-WMnMgO7hHSu59w-1cE7FeFZjkopbh684UE/pubhtml
2022 - https://docs.google.com/spreadsheets/d/e/2PACX-1vQzLGpva63gb2rIilFnpZMRSb-buyr5oGh8jmDtIb8DANo4n6hDalra_WRCl4EZwO1JvaC4UIS62n5h/pubhtml
Python Code:
from hashlib import sha1
def compute_hash(email):
return sha1(email.lower().encode('utf-8')).hexdigest()
You need to call the function as follows:
print(compute_hash('YOUR_EMAIL_HERE'))
The quotes are required to denote that your email is a string.
(By Wesley Barreto)
You can also use this website directly by entering your email: http://www.sha1-online.com. Then, you just have to copy and paste your hashed email in the “research” bar of the leaderboard to get your scores.
(Mélanie Fouesnard)",dab5a24a,Do I need to format my email in any special way before computing the hash?,machine-learning-zoomcamp
"Yes, you can use an online tool to compute your email's hash. You can visit the website http://www.sha1-online.com, where you can enter your email to generate its SHA-1 hash. After obtaining your hashed email, you can copy and paste it as needed for your project or leaderboard.","Leaderboard Links:
2023 - https://docs.google.com/spreadsheets/d/e/2PACX-1vSNK_yGtELX1RJK1SSRl4xiUbD0XZMYS6uwHnybc7Mql-WMnMgO7hHSu59w-1cE7FeFZjkopbh684UE/pubhtml
2022 - https://docs.google.com/spreadsheets/d/e/2PACX-1vQzLGpva63gb2rIilFnpZMRSb-buyr5oGh8jmDtIb8DANo4n6hDalra_WRCl4EZwO1JvaC4UIS62n5h/pubhtml
Python Code:
from hashlib import sha1
def compute_hash(email):
return sha1(email.lower().encode('utf-8')).hexdigest()
You need to call the function as follows:
print(compute_hash('YOUR_EMAIL_HERE'))
The quotes are required to denote that your email is a string.
(By Wesley Barreto)
You can also use this website directly by entering your email: http://www.sha1-online.com. Then, you just have to copy and paste your hashed email in the “research” bar of the leaderboard to get your scores.
(Mélanie Fouesnard)",dab5a24a,Is there an online tool I can use to compute my email's hash?,machine-learning-zoomcamp
"To use your hashed email to check your scores on the leaderboard, you can follow these steps:

1. Compute the hash of your email using the provided Python code:
   ```python
   from hashlib import sha1
   def compute_hash(email):
       return sha1(email.lower().encode('utf-8')).hexdigest()

   email = ""YOUR_EMAIL_HERE""
   hashed_email = compute_hash(email)
   print(""Hashed Email (SHA-1):"", hashed_email)
   ```

2. Replace `YOUR_EMAIL_HERE` with your actual email and run the code to get your hashed email.

3. Alternatively, you can use the website http://www.sha1-online.com to compute the hash by entering your email.

4. Once you have your hashed email, you can copy and paste it in the “research” bar of the leaderboard linked for your specific year:
   - 2023 leaderboard: [2023 Leaderboard](https://docs.google.com/spreadsheets/d/e/2PACX-1vSNK_yGtELX1RJK1SSRl4xiUbD0XZMYS6uwHnybc7Mql-WMnMgO7hHSu59w-1cE7FeFZjkopbh684UE/pubhtml)
   - 2022 leaderboard: [2022 Leaderboard](https://docs.google.com/spreadsheets/d/e/2PACX-1vQzLGpva63gb2rIilFnpZMRSb-buyr5oGh8jmDtIb8DANo4n6hDalra_WRCl4EZwO1JvaC4UIS62n5h/pubhtml)

5. This will allow you to view your scores on the leaderboard.","Leaderboard Links:
2023 - https://docs.google.com/spreadsheets/d/e/2PACX-1vSNK_yGtELX1RJK1SSRl4xiUbD0XZMYS6uwHnybc7Mql-WMnMgO7hHSu59w-1cE7FeFZjkopbh684UE/pubhtml
2022 - https://docs.google.com/spreadsheets/d/e/2PACX-1vQzLGpva63gb2rIilFnpZMRSb-buyr5oGh8jmDtIb8DANo4n6hDalra_WRCl4EZwO1JvaC4UIS62n5h/pubhtml
Python Code:
from hashlib import sha1
def compute_hash(email):
return sha1(email.lower().encode('utf-8')).hexdigest()
You need to call the function as follows:
print(compute_hash('YOUR_EMAIL_HERE'))
The quotes are required to denote that your email is a string.
(By Wesley Barreto)
You can also use this website directly by entering your email: http://www.sha1-online.com. Then, you just have to copy and paste your hashed email in the “research” bar of the leaderboard to get your scores.
(Mélanie Fouesnard)",dab5a24a,How do I use the hashed email to check my scores on the leaderboard?,machine-learning-zoomcamp
"To resolve the error ""wget is not recognized as an internal or external command"" on a Windows system, you need to install wget. The easiest way to do this is by using Chocolatey. You can install wget by running the following command in your command prompt:

```
choco install wget
```

Alternatively, you can download a binary from the internet and place it in a location that is included in your system's PATH (for example, C:/tools/). After installation, wget should be recognized as a command in your terminal.","If you get “wget is not recognized as an internal or external command”, you need to install it.
On Ubuntu, run
sudo apt-get install wget
On Windows, the easiest way to install wget is to use Chocolatey:
choco install wget
Or you can download a binary from here and put it to any location in your PATH (e.g. C:/tools/)
On Mac, the easiest way to install wget is to use brew.
Brew install wget
Alternatively, you can use a Python wget library, but instead of simply using “wget” you’ll need eeeto use
python -m wget
You need to install it with pip first:
pip install wget
And then in your python code, for example in your jupyter notebook, use:
import wget
wget.download(""URL"")
This should download whatever is at the URL in the same directory as your code.
(Memoona Tahira)
Alternatively, you can read a CSV file from a URL directly with pandas:
url = ""https://raw.githubusercontent.com/alexeygrigorev/datasets/master/housing.csv""
df = pd.read_csv(url)
Valid URL schemes include http, ftp, s3, gs, and file.
In some cases you might need to bypass https checks:
import ssl
ssl._create_default_https_context = ssl._create_unverified_context
Or you can use the built-in Python functionality for downloading the files:
import urllib.request
url = ""https://raw.githubusercontent.com/alexeygrigorev/datasets/master/housing.csv""
urllib.request.urlretrieve(url, ""housing.csv"")
Urllib.request.urlretrieve() is a standard Python library function available on all devices and platforms. URL requests and URL data retrieval are done with the urllib.request module.
The urlretrieve() function allows you to download files from URLs and save them locally. Python programs use it to download files from the internet.
On any Python-enabled device or platform, you can use the urllib.request.urlretrieve() function to download the file.
(Mohammad Emad Sharifi)",49f9bda9,How can I resolve 'wget is not recognized as an internal or external command' on a Windows system?,machine-learning-zoomcamp
"To install wget on a Mac, you can use the following steps:

1. If you have Homebrew installed, run the command:  
   ```bash
   brew install wget
   ```

2. Alternatively, you can use a Python wget library by first installing it with pip:  
   ```bash
   pip install wget
   ```

   Then, you can use it in your Python code like this:  
   ```python
   import wget
   wget.download(""URL"")
   ```

This allows you to download files from a specified URL using wget in your Python environment.","If you get “wget is not recognized as an internal or external command”, you need to install it.
On Ubuntu, run
sudo apt-get install wget
On Windows, the easiest way to install wget is to use Chocolatey:
choco install wget
Or you can download a binary from here and put it to any location in your PATH (e.g. C:/tools/)
On Mac, the easiest way to install wget is to use brew.
Brew install wget
Alternatively, you can use a Python wget library, but instead of simply using “wget” you’ll need eeeto use
python -m wget
You need to install it with pip first:
pip install wget
And then in your python code, for example in your jupyter notebook, use:
import wget
wget.download(""URL"")
This should download whatever is at the URL in the same directory as your code.
(Memoona Tahira)
Alternatively, you can read a CSV file from a URL directly with pandas:
url = ""https://raw.githubusercontent.com/alexeygrigorev/datasets/master/housing.csv""
df = pd.read_csv(url)
Valid URL schemes include http, ftp, s3, gs, and file.
In some cases you might need to bypass https checks:
import ssl
ssl._create_default_https_context = ssl._create_unverified_context
Or you can use the built-in Python functionality for downloading the files:
import urllib.request
url = ""https://raw.githubusercontent.com/alexeygrigorev/datasets/master/housing.csv""
urllib.request.urlretrieve(url, ""housing.csv"")
Urllib.request.urlretrieve() is a standard Python library function available on all devices and platforms. URL requests and URL data retrieval are done with the urllib.request module.
The urlretrieve() function allows you to download files from URLs and save them locally. Python programs use it to download files from the internet.
On any Python-enabled device or platform, you can use the urllib.request.urlretrieve() function to download the file.
(Mohammad Emad Sharifi)",49f9bda9,What are the steps to install wget on a Mac?,machine-learning-zoomcamp
"Yes, you can use Python to perform the same task as wget. One way to do this is by using the `wget` library in Python. Here's how:

1. First, you need to install the `wget` library with pip:
   ```
   pip install wget
   ```

2. Then, in your Python code, you can use the following:
   ```python
   import wget
   wget.download(""URL"")
   ```
   Replace `""URL""` with the actual URL of the file you want to download. This will download the file to the current directory.

Alternatively, you can use the built-in `urllib` library in Python:
1. You can use the following code:
   ```python
   import urllib.request
   url = ""https://raw.githubusercontent.com/alexeygrigorev/datasets/master/housing.csv""
   urllib.request.urlretrieve(url, ""housing.csv"")
   ```
   This will also download the file from the specified URL and save it locally. 

Both methods achieve the same result as using wget.","If you get “wget is not recognized as an internal or external command”, you need to install it.
On Ubuntu, run
sudo apt-get install wget
On Windows, the easiest way to install wget is to use Chocolatey:
choco install wget
Or you can download a binary from here and put it to any location in your PATH (e.g. C:/tools/)
On Mac, the easiest way to install wget is to use brew.
Brew install wget
Alternatively, you can use a Python wget library, but instead of simply using “wget” you’ll need eeeto use
python -m wget
You need to install it with pip first:
pip install wget
And then in your python code, for example in your jupyter notebook, use:
import wget
wget.download(""URL"")
This should download whatever is at the URL in the same directory as your code.
(Memoona Tahira)
Alternatively, you can read a CSV file from a URL directly with pandas:
url = ""https://raw.githubusercontent.com/alexeygrigorev/datasets/master/housing.csv""
df = pd.read_csv(url)
Valid URL schemes include http, ftp, s3, gs, and file.
In some cases you might need to bypass https checks:
import ssl
ssl._create_default_https_context = ssl._create_unverified_context
Or you can use the built-in Python functionality for downloading the files:
import urllib.request
url = ""https://raw.githubusercontent.com/alexeygrigorev/datasets/master/housing.csv""
urllib.request.urlretrieve(url, ""housing.csv"")
Urllib.request.urlretrieve() is a standard Python library function available on all devices and platforms. URL requests and URL data retrieval are done with the urllib.request module.
The urlretrieve() function allows you to download files from URLs and save them locally. Python programs use it to download files from the internet.
On any Python-enabled device or platform, you can use the urllib.request.urlretrieve() function to download the file.
(Mohammad Emad Sharifi)",49f9bda9,"Can I use Python to perform the same task as wget? If so, how?",machine-learning-zoomcamp
You can use the function `urllib.request.urlretrieve()` in Python's `urllib.request` module to download files from URLs.,"If you get “wget is not recognized as an internal or external command”, you need to install it.
On Ubuntu, run
sudo apt-get install wget
On Windows, the easiest way to install wget is to use Chocolatey:
choco install wget
Or you can download a binary from here and put it to any location in your PATH (e.g. C:/tools/)
On Mac, the easiest way to install wget is to use brew.
Brew install wget
Alternatively, you can use a Python wget library, but instead of simply using “wget” you’ll need eeeto use
python -m wget
You need to install it with pip first:
pip install wget
And then in your python code, for example in your jupyter notebook, use:
import wget
wget.download(""URL"")
This should download whatever is at the URL in the same directory as your code.
(Memoona Tahira)
Alternatively, you can read a CSV file from a URL directly with pandas:
url = ""https://raw.githubusercontent.com/alexeygrigorev/datasets/master/housing.csv""
df = pd.read_csv(url)
Valid URL schemes include http, ftp, s3, gs, and file.
In some cases you might need to bypass https checks:
import ssl
ssl._create_default_https_context = ssl._create_unverified_context
Or you can use the built-in Python functionality for downloading the files:
import urllib.request
url = ""https://raw.githubusercontent.com/alexeygrigorev/datasets/master/housing.csv""
urllib.request.urlretrieve(url, ""housing.csv"")
Urllib.request.urlretrieve() is a standard Python library function available on all devices and platforms. URL requests and URL data retrieval are done with the urllib.request module.
The urlretrieve() function allows you to download files from URLs and save them locally. Python programs use it to download files from the internet.
On any Python-enabled device or platform, you can use the urllib.request.urlretrieve() function to download the file.
(Mohammad Emad Sharifi)",49f9bda9,What function in Python's urllib.request can I use to download files from URLs?,machine-learning-zoomcamp
